#isbn,subtitle,author,copyright,publisher,genre,score,read,format,own,collection,loan,series,series_vol,comment,price,custom,custom2,custom3,custom4,custom5,custom6,customDate,customSwitch,link,tags,customFloat,customInt,pages,location,lcc,ddc,recordUUID,title
9783836544719,"","Oliver Byrne;  Euclid.; Werner Oechslin",01-01-2013,"Taschen","Mathematics / Geometry / General",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,363,"Köln","QA451","516.2","D4C80440-5B72-4272-A03C-5B00DCA6E07E","Ersten Sechs Bücher Der Elemente Von Euklid"
9781857234572,"","Iain Banks",01-01-1997,"Orbit","Fiction / Science Fiction / General",0.000000,,"book",1,"","","Culture",5.000000,"",0.000000,"","","","","","",08-13-2015,0,"","",0.000000,0,451,"London","PR6052.A485","823.914","889F02FC-5EB6-4843-9C6D-CE379ED0C184","Excession"
9780356501727,"","David Brin",01-01-2012,"Orbit","Fiction / Science Fiction / General",0.000000,,"book",1,"","","",0.000000,"",12.990000,"","","","","","",08-14-2015,0,"","",0.000000,0,550,"London","","813.6","4CF50EEF-4F6F-4BDB-A40C-CF21B8354F79","Existence"
9781857238280,"","Patrick Tilley",01-01-1999,"Orbit","",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,544,"","","","2EE4369B-C577-45D0-8001-B9E59C396463","Fade-Out"
9780722185179,"","Patrick Tilley",01-01-1985,"Sphere","",0.000000,,"book",1,"","","The Amtrak Wars ;",2.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,344,"London","PR6070.I38","","D0C65D3F-3F77-4229-9193-81C03A7054A6","First Family"
9780722163399,"","Larry Niven; Jerry Pournelle",01-01-1986,"Sphere","",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,700,"London","","823/.9/1","AC528E22-767D-43F0-8FA5-EB0DADABA2E8","Footfall"
9780246130471,"","Isaac Asimov",01-01-1986,"Grafton Books","Fiction in English - American writers, 1945- - Texts",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,462,"London","PS3551.S5","813/.54","49C1D14E-D2F7-4989-ACFD-59E26C1B6FEA","Foundation and Earth"
9780575079847,"","Alastair Reynolds",01-01-2006,"Gollancz","Science fiction",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,392,"London","PR6068.E95","823.92","5B872865-5B08-465A-867C-7CA672ACEEF0","Galactic North"
9780575075870,"","Adam Roberts; Adam Charles Roberts",01-01-2006,"Gollancz","",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,458,"London","PR6118.O23","823.2","E9625C0E-7FDC-443E-BB53-F5EC73926916","Gradisil"
9780316234801,"The Surprising Truth About Wheat, Carbs, and Sugar--Your Brain's Silent Killers","David Perlmutter; Kristin Loberg",01-01-2013,"Little, Brown","Health & Fitness / Diet & Nutrition / Nutrition",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,336,"New York, NY","RC394.M48","613.2/6","8EB1B904-F0B9-4B59-9F83-1CEE7D6F8A4C","Grain Brain"
